ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"006230609X"	"9922373041"	"The Supreme Macaroni Company"	"Trigiani, Adriana; (Narrator) Cassandra Campbell"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"12-24-2013"	"07-23-2014"	"05-01-2014"	"Unknown"
"0062310976"	"9922373033"	"Innocent Blood: The Order of the Sanguines Series"	"Rollins, James; Rebecca Cantrell; (Narrator) Christian Baskous"	"New"	"AUDIOBOOKS"	" "	"1"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"12-24-2013"	"02-07-2014"	"05-17-2014"	"Unknown"
"0062282824"	"9922373017"	"The Trident: The Forging and Reforging of a Navy SEAL Leader"	"Redman, Jason; John Bruning; (Foreword) Robert M. Gates, (Narrator) Erik Bergmann"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"12-24-2013"	"05-12-2014"	"04-10-2014"	"Unknown"
"1442368799"	"9922372940"	"A Beautiful Wedding: A Novella (Beautiful Disaster)"	"McGuire, Jamie; (Narrator) Emma Galvin; (Narrator) Zachary Webber"	"New"	"AUDIOBOOKS"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"12-24-2013"	"12-24-2013"	"01-01-0001"	"Unknown"
"0739357689"	"9922393646"	"Look Me In the Eye: My Life with Asperger's"	"Robinson, John Elder; (Foreword) Augusten Burroughs"	"New"	"AUDIOBOOKS"	" "	"1"	"$14.97"	"$0.25"	"$0.00"	"$0.00"	"12-28-2013"	"12-28-2013"	"01-01-0001"	"Unknown"
"1427233403"	"9922427532"	"Radiance of Tomorrow"	"Beah, Ishmael; (Narrator) Dion Graham"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"01-01-2014"	"07-02-2014"	"06-05-2014"	"Unknown"
"1427233152"	"9922450933"	"Emerald Green (Ruby Red Trilogy)"	"Gier, Kerstin; (Narrrator) Marisa Calin"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"01-04-2014"	"06-28-2014"	"01-01-0001"	"Unknown"
"0804193096"	"992250541X"	"Eat It to Beat It!: Banish Belly Fat-and Take Back Your Health-While Eating the Brand-Name Foods You Love!"	"Zinczenko, David"	"New"	"AUDIOBOOKS"	" "	"2"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"01-10-2014"	"06-04-2014"	"05-15-2014"	"Unknown"
"0804163944"	"9922505258"	"Command Authority (Jack Ryan)"	"Clancy, Tom; Mark Greaney; (Narrator) Lou Diamond Phillips"	"New"	"AUDIOBOOKS"	" "	"1"	"$25.00"	"$0.25"	"$0.00"	"$0.00"	"01-10-2014"	"03-13-2014"	"03-14-2014"	"Unknown"
"1611762219"	"9922512033"	"On Such a Full Sea"	"Lee, Chang-rae; (Narrator) BD Wong"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"07-03-2014"	"05-28-2014"	"Unknown"
"0739354019"	"9922511916"	"The All-Girl Filling Station's Last Reunion"	"Flagg, Fannie"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"08-09-2014"	"04-04-2014"	"Unknown"
"1611762480"	"9922511878"	"Dark Wolf (Carpathian)"	"Feehan, Christine; (Narrator) Natalie Ross; (Narrator) Phil Gigante"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"06-02-2014"	"06-27-2014"	"Unknown"
"1427235376"	"9922511827"	"Nine Inches: Stories"	"Perrotta, Tom; (Narrator) William Dufris; (Narrator) Rupert Degas; (Narrator) Andi Arndt"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"09-12-2014"	"01-12-2014"	"Unknown"
"1611762448"	"9922511770"	"Standup Guy (Stone Barrington)"	"Woods, Stuart; (Narrator) Tony Roberts"	"New"	"AUDIOBOOKS"	" "	"1"	"$14.95"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"07-19-2014"	"07-30-2014"	"Unknown"
"006228648X"	"9922511754"	"Allegiant"	"Roth, Veronica; (Narrator) Emma Galvin; (Narrator) Aaron Stanford"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"06-21-2014"	"07-06-2014"	"Unknown"
"1611762383"	"9922516438"	"Love & War: Twenty Years, Three Presidents, Two Daughters and One Louisiana Home"	"Carville, James; Mary Matalin"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"01-11-2014"	"06-18-2014"	"08-15-2014"	"Unknown"
"1427241384"	"9922564025"	"The Last Enchantments"	"Finch, Charles; (Narrator) Luke Daniels"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"01-16-2014"	"07-05-2014"	"02-16-2014"	"Unknown"
